Position,Height above ground [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h]
72.0,3.6,30.1,-0.181,1.086,27.281,-31.571,75.728,-58.135,95.496
73.0,3.6,29.9,-0.195,1.041,24.708,-31.671,75.607,-57.774,95.178
74.0,3.6,30.3,-0.367,0.818,23.159,-34.056,75.696,-58.111,95.452
75.0,3.5,31.1,-0.535,0.629,21.671,-34.556,75.671,-58.312,95.553
76.0,3.5,32.1,-0.7,0.456,20.205,-34.255,75.598,-58.452,95.58
77.0,3.4,33.0,-0.865,0.282,18.741,-33.955,75.525,-58.592,95.607
78.0,3.4,33.9,-1.03,0.109,17.279,-33.655,75.451,-58.732,95.634
79.0,3.4,34.3,-1.205,-0.079,16.933,-33.33,75.565,-60.215,96.633
80.0,3.4,34.3,-1.376,-0.289,17.197,-32.898,75.667,-61.483,97.503
81.0,3.3,34.2,-1.534,-0.517,17.441,-32.352,75.625,-61.538,97.506
82.0,3.2,34.1,-1.691,-0.745,17.684,-31.806,75.582,-61.594,97.508
83.0,3.2,34.1,-1.849,-0.972,17.928,-31.261,75.54,-61.649,97.51
84.0,3.1,34.0,-2.006,-1.2,18.171,-30.717,75.498,-61.704,97.513
85.0,3.0,34.0,-2.163,-1.427,18.414,-30.173,75.456,-61.759,97.515
86.0,2.9,33.9,-2.32,-1.654,18.656,-29.629,75.414,-61.814,97.518
87.0,2.8,33.9,-2.477,-1.881,18.899,-29.085,75.372,-61.869,97.521
88.0,2.8,33.8,-2.634,-2.107,19.141,-28.542,75.33,-61.925,97.523
89.0,2.7,33.7,-2.791,-2.334,19.384,-27.999,75.288,-61.98,97.526
90.0,2.6,34.3,-3.401,-2.608,17.207,-27.342,75.029,-63.435,98.257
91.0,2.5,34.3,-4.014,-3.504,14.827,-25.757,75.184,-64.184,98.859
92.0,2.4,33.9,-4.567,-4.681,12.679,-23.758,75.56,-64.416,99.298
93.0,2.3,33.5,-5.121,-5.859,10.529,-21.759,75.937,-64.649,99.736
94.0,2.1,33.1,-5.675,-7.037,8.378,-19.758,76.313,-64.882,100.175
95.0,2.0,32.7,-6.229,-8.216,6.227,-17.756,76.69,-65.115,100.615
96.0,1.8,32.3,-6.784,-9.396,4.073,-15.753,77.067,-65.348,101.055
97.0,1.6,31.9,-7.339,-10.577,1.917,-13.747,77.445,-65.581,101.496
98.0,1.5,31.5,-7.895,-11.759,-0.24,-11.74,77.823,-65.815,101.937
99.0,1.3,31.1,-8.451,-12.943,-2.4,-9.73,78.201,-66.048,102.378
100.0,1.2,29.9,-8.998,-14.383,-4.014,-7.285,79.262,-66.722,103.617
101.0,1.1,23.3,-9.917,-15.249,-3.797,-5.533,80.259,-67.149,104.651
102.0,0.9,17.2,-10.948,-16.626,-2.991,-4.367,81.101,-67.818,105.723
103.0,0.7,16.3,-11.947,-19.571,-2.209,-3.957,81.685,-69.229,107.077
104.0,0.5,15.4,-12.949,-22.522,-1.425,-3.545,82.27,-70.644,108.439
105.0,0.3,14.0,-15.25,-25.575,-0.788,-3.12,80.529,-69.906,106.639
106.0,0.0,11.7,-20.423,-28.851,-0.474,-2.663,73.649,-64.416,97.854
106.5,0.0,9.7,-22.67,-28.422,-0.338,-2.56,75.981,-64.405,99.605
0.0,2.4,0.0,-11.0,-11.0,0.0,0.0,82.326,-16.003,83.867
1.0,2.3,3.2,-6.157,-6.22,-5.247,6.201,79.878,-9.213,80.408
2.0,2.3,3.3,-2.565,-3.84,-2.62,6.28,80.866,-10.955,81.607
3.0,2.3,4.3,1.477,-0.959,-2.443,7.777,81.868,-12.082,82.757
4.0,2.3,7.7,5.855,2.275,-7.442,10.98,82.701,-11.868,83.549
5.0,2.3,11.2,5.604,0.355,-4.606,3.214,82.43,-13.412,83.514
6.0,2.3,13.2,7.971,3.112,-3.847,5.576,82.16,-14.589,83.446
7.0,2.3,20.2,6.395,1.924,0.764,0.272,81.936,-15.722,83.432
8.0,2.3,27.6,4.507,0.424,5.682,-5.64,81.715,-16.851,83.436
9.0,2.4,33.1,3.119,0.37,8.559,-6.709,81.925,-17.398,83.753
10.0,2.4,36.2,1.711,0.343,14.537,-10.315,81.882,-18.379,83.92
11.0,2.4,37.8,1.156,0.615,20.711,-14.508,81.687,-19.721,84.034
12.0,2.4,39.1,1.9,1.859,23.354,-14.981,81.723,-20.862,84.344
13.0,2.5,40.1,2.871,3.129,24.987,-15.805,81.576,-22.125,84.523
14.0,2.5,40.0,4.748,4.453,22.642,-17.957,80.768,-23.785,84.198
